"name","height","weight","games","touchdowns","points","two_point_points","total_singles","fumbles","fumbles_lost","fumble_return_yards","fumble_touchdowns"
"C.J._Washington",5.08,160,1,0,0,0,0,0,0,0,0
"Clarence_Denmark",5.1,189,43,8,48,0,0,1,1,0,0
"Cleyon_Laing",6.03,280,25,0,0,0,0,0,0,0,0
"Cliff _Louis",6.08,315,1,0,0,0,0,0,0,0,0
"Clifton_Smith",5.08,190,3,1,6,0,0,0,0,0,0
"Clint _Kent",5.09,201,1,0,0,0,0,0,0,0,0
"Cody_Acker",6.01,220,1,0,0,0,0,0,0,0,0
"Cody _Hoffman",6.04,210,4,1,6,0,0,0,0,0,0
"Cody_Husband",6.07,307,1,0,0,0,0,0,0,0,0
"Cody_Thornton",5.1,165,1,0,0,0,0,0,0,0,0
"Colin_Kelly",6.05,298,1,0,0,0,0,0,0,0,0
"Collin_Klein",6.05,226,1,0,0,0,0,0,0,0,0
"Connor_Williams",6.03,278,6,0,0,0,0,0,0,0,0
"Corbin_Sharun",6,220,20,0,0,0,0,0,0,0,0
"Cordarro_Law",6.02,262,17,0,0,0,0,0,0,0,0
"Cord_Parks",5.11,180,46,2,12,0,0,0,0,53,1
"Corey_Mace",6.03,286,14,0,0,0,0,0,0,10,0
"Corey_Robinson",6.01,205,1,0,0,0,0,0,0,0,0
"Corey _Watman",6.02,294,3,0,0,0,0,0,0,0,0
"Corvey_Irvin",6.02,295,4,0,0,0,0,0,0,0,0
"Cory_Greenwood",6.02,237,8,0,0,0,0,0,0,0,0
"Cory_Henry",6.03,238,1,0,0,0,0,0,0,0,0
"Cory_Huclack",6,215,8,0,0,0,0,2,0,0,0
"Cory_Mitchell",6.02,195,1,0,0,0,0,0,0,0,0
"Cory_Watson",6.03,211,28,4,24,0,0,1,1,0,0
"Courtney_Greene",6,215,1,0,0,0,0,0,0,0,0
"Courtney_Stephen",6,194,35,0,0,0,0,0,0,31,0
"Courtney_Taylor",6.01,205,33,8,50,1,0,3,1,0,0
"Craig_Butler",6.02,196,47,0,0,0,0,0,0,0,0
"Craig_Marshall",6.04,290,7,0,0,0,0,0,0,0,0
"Craig_Roh",6.05,265,5,0,0,0,0,0,0,0,0
"Craig_Wilkins",6.01,252,2,0,0,0,0,0,0,0,0
"Curtis_Dublanko",6,220,5,0,0,0,0,0,0,0,0
"Curtis_McNeal",5.07,190,1,0,0,0,0,0,0,0,0
"Curtis_Steele",5.11,189,29,10,60,0,0,5,2,0,0
"Curtis_Taylor",6.02,210,1,0,0,0,0,0,0,0,0
